Municipality_final,CBS_code,Province,Population,Area,Density,Avg_Annual_Income,Med_Annual_Income,Road_Length,Cycling_Road
Aa en Hunze,1680,Drenthe,25579,276.66,93,35.2,32.2,639,664.7
Almere,358,North Holland,32452,20,1615,40.4,33.9,157,167.7
Alblasserdam,482,South Holland,20087,8.87,2290,33.2,30,82,100.9
Albrandswaard,613,South Holland,25934,21.17,1197,39.7,35.9,151,173.7
Alkmaar,361,North Holland,110783,110.01,1004,33.1,30.3,594,648.2
Almelo,141,Overijssel,73155,67.78,1089,29.8,26.9,538,564.3
Almere,34,Flevoland,217828,129.98,1686,33.5,31.1,1179,1266.5
Alphen aan den Rijn,484,South Holland,112926,125.53,897,35.7,32.5,552,657
Alphen-Chaam,1723,North Brabant,10425,92.28,112,37.8,34.3,236,267.1
Altena,1959,North Brabant,57009,199.94,285,35.4,31.7,697,731.3
Amersfoort,307,Utrecht,158590,62.29,2538,36.2,32.6,680,723.1
Amstelveen,362,North Holland,92331,41.11,2246,40.3,32.6,344,428.9
Amsterdam,363,North Holland,903399,187.72,4812,36.2,28.4,1910,2370.4
Apeldoorn,200,Gelderland,165611,339.96,487,33.5,30.5,1276,1479.6
Arnhem,202,Gelderland,163888,97.74,1677,30.8,27.2,781,901
Asten,743,North Brabant,17068,70.01,243,34.6,30.8,250,234.9
Baarn,308,Utrecht,24876,32.24,764,38.6,32.8,186,200.1
Barendrecht,489,South Holland,48714,19.98,2488,38.7,35.3,252,292.1
Barneveld,203,Gelderland,60584,175.54,345,35.8,31.8,703,733.5
Beekdaelen,1954,Limburg,35922,78.8,459,33.7,30.9,428,465.1
Beesel,889,Limburg,13408,27.78,481,31.8,29.2,184,176.9
Bergen (NH.),373,North Holland,29723,99,300,43,33.3,300,360.6
Bergen op Zoom,748,North Brabant,67894,79.97,849,32.6,29.6,472,505.5
Berkelland,1859,Gelderland,43850,258.89,170,32.7,30.3,1011,1056
Bernheze,1721,North Brabant,31715,89.93,353,36.7,32.5,433,442.6
Best,753,North Brabant,30608,33.39,903,36.6,33.2,252,265.3
Beuningen,209,Gelderland,26235,43.3,602,35.6,32.4,248,249.7
Beverwijk,375,North Holland,42084,18.85,2293,32.1,29.9,183,190
Bladel,1728,North Brabant,20718,75.53,275,35.9,32.6,237,266.1
Blaricum,376,North Holland,12359,11.17,1116,56.2,37.2,97,106.2
Bodegraven-Reeuwijk,1901,South Holland,35752,75.5,474,38.7,33.9,243,250.6
Borne,147,Overijssel,24007,25.59,924,34.6,31.9,207,199.6
Boxtel,757,North Brabant,33129,69.91,480,35.8,30.9,332,339.5
Breda,758,North Brabant,184702,125.59,1469,35.3,31,1045,1081.2
Bunnik,312,Utrecht,15590,36.63,422,39.7,37,147,163.5
Bunschoten,313,Utrecht,22325,30.09,735,36.1,32.5,132,152.3
Capelle aan den IJssel,502,South Holland,67188,14.44,4751,32.9,29.8,218,266.3
Castricum,383,North Holland,36263,49.94,730,39.7,35.1,213,255.8
Coevorden,109,Drenthe,35517,296.61,120,32.1,29.4,887,896.5
Cranendonck,1706,North Brabant,20669,76.6,270,34.7,31.5,271,298.1
Culemborg,216,Gelderland,29397,29.97,1004,34.6,31.9,188,208
De Bilt,310,Utrecht,43508,66.69,657,41.1,34.4,249,277.1
De Fryske Marren,1940,Friesland,51597,351.11,147,33.4,30.1,869,893.7
De Wolden,1690,Drenthe,24511,224.49,109,35,32.2,554,559.5
Delft,503,South Holland,104572,22.26,4614,32.9,28.6,292,364.2
Den Helder,400,North Holland,56334,45.5,1249,30.2,28.1,323,398.8
Deurne,762,North Brabant,32606,116.66,279,34,31,513,528.3
Deventer,150,Overijssel,101446,130.06,777,32,29.3,718,856.3
Diemen,384,North Holland,31822,11.15,2664,35.1,32.1,118,131.7
Dinkelland,1774,Overijssel,26594,175.52,151,36.4,32.9,647,691.7
Doetinchem,222,Gelderland,58546,79.94,741,32.5,29.5,497,534.1
Dordrecht,505,South Holland,119537,77.76,1541,32.5,29.5,520,649.6
